cit,who,role,where,when,eng
"Un giornalista che mi incontra mi chiede: ma lei e' fascista, ma lei e' estremista? Gli ho detto: rivendico con orgoglio di essere fascista, se fascista vuole dire essere contro l'egemonia culturale della sinistra. Ho detto che rivendico di essere fascista se fascista vuol dire cacciare a pedate gli irregolari e i clandestini.",Daniela Santanchè,Ministro del turismo,"https://www.youtube.com/watch?v=cT4T2ANItXc",2019,"A journalist asked: are you fascist? Are you extremist? Me: I proudly claim to be a fascist if fascist means being against the cultural hegemony of the left. I said: I claim to be a fascist if fascist means kicking out the illegals and illegal immigrants."
"Ritengo che non è un problema. Cioè, noi ci stiamo occupando di un non problema. Perchè a me non impressiona; io sul comodino di casa mia... mi hanno regalato una bellissima testa del duce in legno e tutto, ce l'ho, la tengo, non me ne vergogno. Ma non è che con questo inneggio al fascismo.",Daniela Santanchè,Ministro del turismo,"https://twitter.com/AlekosPrete/status/1582273219813199872",2017,"I believe that it is not a problem. I mean, we are dealing with a non-issue. It doesn't impress me; I have on the bedside table in my house... I was given a beautiful wooden head of the duce and everything... I have it, I keep it, I'm not ashamed of it. But it's not like I'm glorifying fascism with it."
"O Parmigiano, portami via",Giorgia Meloni,Presidente del Consiglio,"https://www.instagram.com/p/BqXWMm9hdf6/?hl=en",2018,"Oh Parmesan, carry me away"
"Noi, siamo una nazione che lo scorso anno ha fatto scappare 100000 italiani all'estero e ha, diciamo, portato in Italia, in tre anni, 500000 immigrati richiedenti asilo. Sì, penso che ci sia un disegno di sostituzione etnica.",Giorgia Meloni,Presidente del Consiglio,"https://www.ansa.it/sito/videogallery/italia/2017/06/20/ius-soli-meloni-in-italia-ce-disegno-di-sostituzione-etnica_2008641f-45fc-4da5-a750-d3a038cb1fb5.html",2017,"We, we are a nation that last year made 100000 Italians flee abroad and brought, let's say, 500000 asylum-seeking immigrants to Italy in three years. Yes, I think there is a pattern of ethnic replacement."
"Io sono una femminista. Le femministe non hanno mai considerato l'aborto un diritto.",Eugenia Roccella,"Ministro della famiglia, natalità e pari opportunità","https://www.youtube.com/watch?v=a3ssvnob2hk",2022,"I'm a feminist. Feminists never considered abortion as a right."
"Penso al provvedimento sulle unioni civili che, va detto con chiarezza, di fatto apre alla stepchild adoption. Per la sinistra, leggi come questa portano verso il progresso; per noi, vanno verso la fine dell'umano.",Eugenia Roccella,"Ministro della famiglia, natalità e pari opportunità","https://espresso.repubblica.it/video/2018/01/29/video/,centrodestra_unito_per_abolire_le_unioni_civili_vanno_verso_la_fine_dell_umano-321951741/",2018,"I am thinking of the civil unions measure, which, it must be clearly stated, actually opens up stepchild adoption. For the left, laws like this lead toward progress; for us, they go toward the end of the human."
"[...] non potere esprimere la mia opinione perchè fascista. Io ho sempre detto: piano con i complimenti.",Ignazio La Russa,Presidente del Senato,"https://www.youtube.com/watch?v=fhf0yfqLwBs",2019,"[...] not being able to express my opinion because I am a fascist. I have always said, easy on the compliments."
"No, libri ne ho letti forse troppo tempo fa, perche' mi tocca studiare le cose [...] Ho riletto Il Castello di Kafka [...] sarà stato tre anni fa.",Lucia Borgonzoni,Sottosegretaria alla Cultura,"https://www.ilgiornaleditalia.it/video/politica/421131/lucia-borgonzoni-lega-non-leggo-un-libro-da-tre-anni-video.html",2018,"Well, books, I have read some a long time ago, because I was studying things [...] I've re-read The Castle by Kafka [...] it must have been three years ago."
"Purtroppo l'aborto fa parte delle libertà della donna.",Eugenia Roccella,"Ministro della famiglia, natalità e pari opportunità","https://video.repubblica.it/politica/roccella-aborto/436541/437507",2023,"Unfortunately, abortion is one of the freedoms of women."
"La parità? Quand'è che si realizzerà veramente? Quando una donna grassa, brutta e scema rivestirà un ruolo importante. A quel punto ci sarà la parità, perchè ci sono uomini brutti grassi e scemi che svolgono ruoli importanti. Credo che sia un grosso complimento per le donne per come la vedo io.",Ignazio La Russa,Presidente del Senato,"https://www.open.online/2023/02/22/la-russa-parita-di-genere-video/",2023,"When will we have equality? When a fat, ugly, and dumb woman will be given a prestigious role. Only then, we will have equality, because there are ugly, fat, dumb men that have prestigiuos roles. It is a big compliment to women, I believe."
"A parte che ne hanno pagati altrettanti per venire qui (i migranti che arrivano in Italia, ndr). Poi ormai molti arrivano con telefonino, scarpe, catenina, orologino, insomma...",Matteo Salvini,Vicepresidente del Consiglio,"https://www.open.online/2023/09/25/immigrazione-cauzione-5mila-euro-polemiche-salvini-scarpe-collanine-video/",September 2023,"Apart from the fact that they paid just as much to come here (migrants arriving in Italy, editor's note). Then by now, many arrive with a mobile phone, shoes, chain, watch, well..."
